_Sample_ID,_Method_ID,CPT Name,Depth,Tip Stress UNC_qc,Sleeve Stress_fs,Pore Pressure_u
,,CPT-101,10.974,5.26,0.1738,0.4375
,,CPT-101,11.04,5.26,0.1614,0.7875
,,CPT-101,11.106,5.26,0.1622,0.4437
,,CPT-101,11.171,5.5,0.1708,0.3562
,,CPT-101,11.237,5.14,0.1736,0.3813
,,CPT-101,11.302,4.07,0.1641,0.3437
,,CPT-101,11.368,3.71,0.1561,0.3687
,,CPT-101,11.434,3.59,0.151,0.3625
,,CPT-101,11.499,3.59,0.144,0.2937
,,CPT-101,11.565,3.83,0.137,0.2875
,,CPT-101,11.631,3.83,0.1343,0.4062
,,CPT-101,11.696,4.19,0.1344,0.4437
,,CPT-101,11.762,3.83,0.1351,0.3437
,,CPT-101,11.827,2.87,0.1421,0.4469
,,CPT-101,11.893,1.56,0.1423,0.35
,,CPT-101,11.959,1.91,0.1301,0.45
,,CPT-101,12.024,1.56,0.1144,0.45
,,CPT-101,12.09,1.56,0.1107,0.45
,,CPT-101,12.156,2.27,0.1168,0.3875
,,CPT-101,12.221,4.91,0.1323,0.4875
,,CPT-101,12.287,7.54,0.1645,0.5125
,,CPT-101,12.352,11.6,0.2028,0.6
,,CPT-101,12.418,11.72,0.2378,0.5062
,,CPT-101,12.484,10.53,0.2589,0.4188
,,CPT-101,12.549,9.09,0.2694,0.5
,,CPT-101,12.615,11.13,0.2764,0.4937
,,CPT-101,12.68,15.79,0.2723,0.3937
,,CPT-101,12.746,19.62,0.2669,0.3937
,,CPT-101,12.812,27.04,0.2464,0.3937
,,CPT-101,12.877,38.76,0.2071,0.3937
,,CPT-101,12.943,60.42,0.1901,0.3813
,,CPT-101,13.009,72.02,0.1901,0.4437
,,CPT-101,13.074,72.26,0.1901,0.3313
,,CPT-101,13.14,67.83,0.2064,0.3313
,,CPT-101,13.205,60.65,0.2438,0.3375
,,CPT-101,13.271,55.39,0.2891,0.35
,,CPT-101,13.337,55.03,0.3259,0.3562
,,CPT-101,13.402,55.27,0.3828,0.3562
,,CPT-101,13.468,49.29,0.4769,0.3562
,,CPT-101,13.533,43.31,0.5601,0.3562
,,CPT-101,13.599,34.22,0.5872,0.3562
,,CPT-101,13.665,29.67,0.5612,0.3625
,,CPT-101,13.73,28.23,0.5246,0.3937
,,CPT-101,13.796,54.07,0.5127,0.4937
,,CPT-101,13.862,90.56,0.5378,0.4312
,,CPT-101,13.927,105.16,0.5317,0.275
,,CPT-101,13.993,108.15,0.5025,0.3
,,CPT-101,14.058,113.17,0.469,0.3625
,,CPT-101,14.124,117.12,0.4378,0.3625
,,CPT-101,14.19,122.03,0.4464,0.3625
,,CPT-101,14.255,79.08,0.4647,0.4562
,,CPT-101,14.321,103.48,0.477,0.375
,,CPT-101,14.386,105.64,0.4814,0.375
,,CPT-101,14.452,101.69,0.4866,0.3813
,,CPT-101,14.518,96.78,0.4833,0.3813
,,CPT-101,14.583,87.21,0.4852,0.3875
,,CPT-101,14.649,80.16,0.4617,0.3875
,,CPT-101,14.715,65.92,0.4624,0.4062
,,CPT-101,14.78,58.74,0.5587,0.4125
,,CPT-101,14.846,55.75,0.615,0.4188
,,CPT-101,14.911,53.12,0.5652,0.4312
,,CPT-101,14.977,52.04,0.4797,0.4375
,,CPT-101,15.043,53.72,0.4327,0.4437
,,CPT-101,15.108,63.53,0.4402,0.4688
,,CPT-101,15.174,78.0,0.4757,0.475
,,CPT-101,15.24,86.5,0.5168,0.45
,,CPT-101,15.305,95.71,0.5671,0.4375
,,CPT-101,15.371,103.12,0.6171,0.4437
,,CPT-101,15.436,106.95,0.6341,0.4437
,,CPT-101,15.502,114.13,0.6153,0.4437
,,CPT-101,15.568,121.67,0.6009,0.4437
,,CPT-101,15.633,131.12,0.6326,0.45
,,CPT-101,15.699,138.3,0.6859,0.45
,,CPT-101,15.764,147.87,0.7476,0.4375
,,CPT-101,15.83,154.21,0.8277,0.4562
,,CPT-101,15.896,155.88,0.8884,0.4375
,,CPT-101,15.961,157.56,0.9173,0.425
,,CPT-101,16.027,157.8,0.9289,0.4375
,,CPT-101,16.093,158.16,0.9169,0.4375
,,CPT-101,16.158,158.16,0.8866,0.4375
,,CPT-101,16.224,156.84,0.8542,0.45
,,CPT-101,16.289,154.69,0.8425,0.45
,,CPT-101,16.355,153.85,0.8648,0.4562
,,CPT-101,16.421,154.93,0.9041,0.4625
,,CPT-101,16.486,159.11,0.9595,0.475
,,CPT-101,16.552,160.91,1.0004,0.475
,,CPT-101,16.617,159.11,1.0,0.475
,,CPT-101,16.683,155.17,0.9965,0.475
,,CPT-101,16.749,152.53,0.9875,0.4937
,,CPT-101,16.814,150.86,0.9675,0.4875
,,CPT-101,16.88,150.74,0.9406,0.4875
,,CPT-101,16.946,149.18,0.9237,0.4625
,,CPT-101,17.011,145.71,0.9211,0.4594
,,CPT-101,17.077,139.61,0.927,0.4562
,,CPT-101,17.142,135.67,0.9469,0.4562
,,CPT-101,17.208,129.32,0.9287,0.475
,,CPT-101,17.274,121.79,0.8778,0.4875
,,CPT-101,17.339,116.16,0.8138,0.4937
,,CPT-101,17.405,108.39,0.7359,0.5063
,,CPT-101,17.47,100.85,0.6816,0.5125
,,CPT-101,17.536,49.89,0.6508,0.5094
,,CPT-101,17.602,89.49,0.6223,0.5094
,,CPT-101,17.667,86.62,0.5822,0.5063
,,CPT-101,17.733,82.07,0.5566,0.5375
,,CPT-101,17.799,79.08,0.5427,0.5563
,,CPT-101,17.864,77.76,0.5261,0.5563
,,CPT-101,17.93,75.25,0.5061,0.5812
,,CPT-101,17.995,71.42,0.4715,0.6312
,,CPT-101,18.061,68.79,0.4355,0.6375
,,CPT-101,18.127,67.0,0.4204,0.6438
,,CPT-101,18.192,66.16,0.4195,0.6438
,,CPT-101,18.258,65.2,0.4084,0.6438
,,CPT-101,18.323,64.6,0.3849,0.675
,,CPT-101,18.389,64.12,0.3673,0.7
,,CPT-101,18.455,64.24,0.3594,0.7187
,,CPT-101,18.52,65.56,0.361,0.7375
,,CPT-101,18.586,69.51,0.3714,0.7313
,,CPT-101,18.652,72.86,0.3837,0.7187
,,CPT-101,18.717,73.81,0.389,0.725
,,CPT-101,18.783,74.53,0.3719,0.75
,,CPT-101,18.848,75.73,0.3413,0.75
,,CPT-101,18.914,77.64,0.3143,0.7125
,,CPT-101,18.98,78.84,0.2966,0.6562
,,CPT-101,19.045,77.88,0.2939,0.7094
,,CPT-101,19.111,73.34,0.2948,0.65
,,CPT-101,19.177,69.27,0.3068,0.7062
,,CPT-101,19.242,65.92,0.3235,0.725
,,CPT-101,19.308,64.24,0.3237,0.7375
,,CPT-101,19.373,61.49,0.3141,0.7625
,,CPT-101,19.439,60.3,0.3036,0.8
,,CPT-101,19.505,59.7,0.2923,0.8625
,,CPT-101,19.57,60.54,0.2792,0.8812
,,CPT-101,19.636,60.77,0.2704,0.8812
,,CPT-101,19.701,61.37,0.2644,0.8812
,,CPT-101,19.767,62.21,0.2565,0.8625
,,CPT-101,19.833,60.89,0.2589,0.8563
,,CPT-101,19.898,56.83,0.2745,0.9
,,CPT-101,19.964,52.64,0.286,0.9438
,,CPT-101,20.03,50.96,0.2964,0.9687
,,CPT-101,20.095,50.96,0.3138,0.975
,,CPT-101,20.161,51.8,0.3424,0.9875
,,CPT-101,20.226,51.44,0.3645,1.0063
,,CPT-101,20.292,50.96,0.3467,1.0313
,,CPT-101,20.358,52.04,0.3211,1.0375
,,CPT-101,20.423,53.12,0.3089,1.0187
,,CPT-101,20.489,52.4,0.3125,0.9625
,,CPT-101,20.554,53.36,0.3274,0.8812
,,CPT-101,20.62,55.03,0.3314,0.9312
,,CPT-101,20.686,58.02,0.3314,0.9438
,,CPT-101,20.751,59.34,0.3374,0.9187
,,CPT-101,20.817,38.88,0.3471,0.6312
,,CPT-101,20.883,67.59,0.3737,0.6312
,,CPT-101,20.948,70.94,0.4114,0.6312
,,CPT-101,21.014,75.25,0.4299,0.6312
,,CPT-101,21.079,78.0,0.4455,0.6187
,,CPT-101,21.145,80.27,0.4622,0.6625
,,CPT-101,21.211,85.06,0.476,0.6875
,,CPT-101,21.276,88.65,0.4866,0.675
,,CPT-101,21.342,89.49,0.497,0.6625
,,CPT-101,21.407,88.77,0.5204,0.6625
,,CPT-101,21.473,86.26,0.5321,0.625
,,CPT-101,21.539,84.34,0.5217,0.65
,,CPT-101,21.604,81.11,0.5001,0.6875
,,CPT-101,21.67,78.84,0.4713,0.7
,,CPT-101,21.736,76.33,0.4468,0.7062
,,CPT-101,21.801,75.85,0.4276,0.7375
,,CPT-101,21.867,75.85,0.4187,0.75
,,CPT-101,21.932,76.45,0.4204,0.7688
,,CPT-101,21.998,76.69,0.4332,0.7937
,,CPT-101,22.064,76.21,0.4499,0.7937
,,CPT-101,22.129,75.85,0.4613,0.8
,,CPT-101,22.195,75.61,0.4786,0.8125
,,CPT-101,22.261,75.37,0.4927,0.8312
,,CPT-101,22.326,76.45,0.4928,0.85
,,CPT-101,22.392,77.88,0.4859,0.8563
,,CPT-101,22.457,79.32,0.484,0.85
,,CPT-101,22.523,81.23,0.4841,0.8062
,,CPT-101,22.589,82.91,0.4721,0.8062
,,CPT-101,22.654,84.22,0.4691,0.8062
,,CPT-101,22.72,85.78,0.4924,0.7813
,,CPT-101,22.785,86.5,0.5196,0.7437
,,CPT-101,22.851,86.85,0.5431,0.7562
,,CPT-101,22.917,86.26,0.5667,0.75
,,CPT-101,22.982,84.94,0.5885,0.775
,,CPT-101,23.048,83.86,0.6001,0.7937
,,CPT-101,23.114,83.27,0.5975,0.7937
,,CPT-101,23.179,81.95,0.5914,0.7937
,,CPT-101,23.245,79.32,0.5674,0.7937
,,CPT-101,23.31,77.04,0.5332,0.8
,,CPT-101,23.376,73.46,0.507,0.8188
,,CPT-101,23.442,70.94,0.4945,0.8188
,,CPT-101,23.507,69.63,0.5022,0.8188
,,CPT-101,23.573,68.91,0.5179,0.7937
,,CPT-101,23.638,68.67,0.5499,0.7937
,,CPT-101,23.704,68.43,0.5961,0.7937
,,CPT-101,23.77,68.19,0.5305,0.75
,,CPT-101,23.835,67.59,0.5651,0.775
,,CPT-101,23.901,67.0,0.6875,0.7813
,,CPT-101,23.967,66.04,0.6708,0.8
,,CPT-101,24.032,67.0,0.6612,0.7937
,,CPT-101,24.098,67.0,0.6619,0.6813
,,CPT-101,24.163,67.0,0.6681,0.6813
,,CPT-101,24.229,67.0,0.6707,0.6813
,,CPT-101,24.295,64.48,0.6724,0.6813
,,CPT-101,24.36,62.57,0.6699,0.7
,,CPT-101,24.426,59.34,0.6604,0.7125
,,CPT-101,24.491,57.9,0.6285,0.7187
,,CPT-101,24.557,58.26,0.6014,0.7313
,,CPT-101,24.623,60.77,0.6022,0.725
,,CPT-101,24.688,62.21,0.6019,0.7062
,,CPT-101,24.754,62.81,0.5992,0.7094
,,CPT-101,24.82,63.17,0.6069,0.7062
,,CPT-101,24.885,64.0,0.626,0.7125
,,CPT-101,24.951,64.24,0.641,0.7125
,,CPT-101,25.016,64.0,0.6369,0.7125
,,CPT-101,25.082,63.29,0.6194,0.725
,,CPT-101,25.148,59.46,0.6054,0.7313
,,CPT-101,25.213,55.15,0.5881,0.7313
,,CPT-101,25.279,48.57,0.5611,0.75
,,CPT-101,25.344,44.86,0.5349,0.7625
,,CPT-101,25.41,40.8,0.4892,0.7813
,,CPT-101,25.476,38.28,0.4177,0.8375
,,CPT-101,25.541,40.97,0.3555,0.8875
,,CPT-101,25.607,39.12,0.3066,0.8937
,,CPT-101,25.673,41.15,0.2561,0.825
,,CPT-101,25.738,41.99,0.2251,0.6312
,,CPT-101,25.804,42.47,0.2241,0.5875
,,CPT-101,25.869,43.67,0.2618,0.5938
,,CPT-101,25.935,44.15,0.3171,0.6625
,,CPT-101,26.001,40.44,0.3674,0.725
,,CPT-101,26.066,37.69,0.4097,0.775
,,CPT-101,26.132,33.86,0.4144,0.8188
,,CPT-101,26.198,33.86,0.3928,0.85
,,CPT-101,26.263,33.86,0.3546,0.8625
,,CPT-101,26.329,36.01,0.3135,0.8812
,,CPT-101,26.394,40.56,0.314,0.8188
,,CPT-101,26.46,44.15,0.3183,0.7187
,,CPT-101,26.526,48.45,0.3189,0.6312
,,CPT-101,26.591,51.32,0.3777,0.7156
,,CPT-101,26.657,52.28,0.4443,0.6187
,,CPT-101,26.722,53.6,0.4769,0.7125
,,CPT-101,26.788,53.0,0.5217,0.7313
,,CPT-101,26.854,50.25,0.5651,0.7375
,,CPT-101,26.919,47.38,0.5773,0.7562
,,CPT-101,26.985,43.55,0.5827,0.7688
,,CPT-101,27.051,41.03,0.5126,0.7688
,,CPT-101,27.116,38.28,0.4627,0.7875
,,CPT-101,27.182,38.28,0.4576,0.8125
,,CPT-101,27.247,40.08,0.4095,0.7937
,,CPT-101,27.313,44.86,0.3771,0.6375
,,CPT-101,27.379,38.52,0.3647,0.7375
,,CPT-101,27.444,51.8,0.3693,0.4625
,,CPT-101,27.493,52.88,0.3921,0.5125
,,CPT-101,27.559,53.24,0.4314,0.575
,,CPT-101,27.625,53.72,0.4612,0.6562
,,CPT-101,27.69,54.67,0.4821,0.675
,,CPT-101,27.756,55.15,0.5039,0.6938
,,CPT-101,27.822,54.43,0.5377,0.7125
,,CPT-101,27.887,53.6,0.5693,0.7375
,,CPT-101,27.953,52.76,0.5851,0.7437
,,CPT-101,28.018,49.89,0.6033,0.7562
,,CPT-101,28.084,47.61,0.603,0.775
,,CPT-101,28.15,44.5,0.5683,0.7875
,,CPT-101,28.215,43.55,0.5238,0.7937
,,CPT-101,28.281,44.03,0.481,0.8
,,CPT-101,28.346,45.94,0.4477,0.725
,,CPT-101,28.412,48.57,0.4309,0.6
,,CPT-101,28.478,49.05,0.4291,0.625
,,CPT-101,28.543,49.05,0.4377,0.6438
,,CPT-101,28.609,48.09,0.4448,0.6938
,,CPT-101,28.675,47.38,0.4448,0.7437
,,CPT-101,28.74,46.9,0.4576,0.7562
,,CPT-101,28.806,46.06,0.4744,0.7813
,,CPT-101,28.871,44.98,0.478,0.8062
,,CPT-101,28.937,44.38,0.478,0.8188
,,CPT-101,29.003,43.19,0.4745,0.8375
,,CPT-101,29.068,41.51,0.4633,0.8563
,,CPT-101,29.134,40.68,0.445,0.8625
,,CPT-101,29.199,40.68,0.4309,0.875
,,CPT-101,29.265,42.47,0.4265,0.8875
,,CPT-101,29.331,43.31,0.4256,0.8875
,,CPT-101,29.396,42.59,0.4222,0.8875
,,CPT-101,29.462,40.32,0.4161,0.8875
,,CPT-101,29.528,39.6,0.4177,0.8937
,,CPT-101,29.593,39.48,0.4136,0.9
,,CPT-101,29.659,39.36,0.3893,0.8812
,,CPT-101,29.724,40.8,0.3733,0.8875
,,CPT-101,29.79,43.79,0.3733,0.8688
,,CPT-101,29.856,43.79,0.375,0.7813
,,CPT-101,29.921,43.91,0.3811,0.8
,,CPT-101,29.987,45.94,0.3923,0.825
,,CPT-101,30.052,47.73,0.4191,0.8312
,,CPT-101,30.118,48.33,0.4464,0.825
,,CPT-101,30.184,47.49,0.4629,0.825
,,CPT-101,30.249,46.66,0.4796,0.85
,,CPT-101,30.315,46.3,0.488,0.875
,,CPT-101,30.381,48.93,0.4906,0.8875
,,CPT-101,30.446,49.77,0.4945,0.8875
,,CPT-101,30.512,50.13,0.5006,0.8937
,,CPT-101,30.577,49.77,0.5007,0.9187
,,CPT-101,30.643,49.05,0.4963,0.8812
,,CPT-101,30.709,48.33,0.4963,0.8812
,,CPT-101,30.774,48.45,0.4972,0.8812
,,CPT-101,30.84,48.81,0.4972,0.9125
,,CPT-101,30.906,48.33,0.4972,0.9125
,,CPT-101,30.971,45.46,0.4963,0.9125
,,CPT-101,31.037,41.51,0.4835,0.9125
,,CPT-101,31.102,39.0,0.459,0.9375
,,CPT-101,31.168,37.09,0.444,0.9375
,,CPT-101,31.234,37.21,0.4328,0.9375
,,CPT-101,31.299,37.21,0.4136,0.9375
,,CPT-101,31.365,37.57,0.403,0.975
,,CPT-101,31.43,39.0,0.403,0.975
,,CPT-101,31.496,39.96,0.403,0.975
,,CPT-101,31.562,42.59,0.4072,1.0063
,,CPT-101,31.627,46.18,0.4177,0.9625
,,CPT-101,31.693,47.85,0.4324,0.9563
,,CPT-101,31.759,48.09,0.449,0.9812
,,CPT-101,31.824,48.09,0.4656,0.9875
,,CPT-101,31.89,48.45,0.4796,0.9938
,,CPT-101,31.955,49.41,0.4849,0.9875
,,CPT-101,32.021,50.37,0.4849,0.9875
,,CPT-101,32.087,50.01,0.4841,0.9875
,,CPT-101,32.152,49.29,0.4823,0.9875
,,CPT-101,32.218,47.38,0.4772,0.9938
,,CPT-101,32.283,45.82,0.4727,1.0
,,CPT-101,32.349,44.27,0.4668,1.0063
,,CPT-101,32.415,44.03,0.4452,0.9875
,,CPT-101,32.48,43.67,0.4266,0.9938
,,CPT-101,32.546,42.71,0.423,1.0187
,,CPT-101,32.612,41.51,0.411,1.0187
,,CPT-101,32.677,40.68,0.3952,1.0375
,,CPT-101,32.743,40.2,0.3822,1.0375
,,CPT-101,32.808,40.68,0.3733,1.0375
,,CPT-101,32.874,38.88,0.3733,1.0375
,,CPT-101,32.94,40.68,0.3767,1.025
,,CPT-101,33.005,43.31,0.3871,1.0063
,,CPT-101,33.071,44.5,0.4028,1.0063
,,CPT-101,33.136,45.94,0.4219,0.9875
,,CPT-101,33.202,46.42,0.4412,1.0125
,,CPT-101,33.268,46.06,0.4526,1.0125
,,CPT-101,33.333,46.06,0.4596,1.0187
,,CPT-101,33.399,46.9,0.4649,1.0187
,,CPT-101,33.465,45.94,0.4658,1.0187
,,CPT-101,33.53,42.11,0.447,1.0187
,,CPT-101,33.596,39.6,0.4154,1.025
,,CPT-101,33.661,37.33,0.3927,1.0187
,,CPT-101,33.727,37.45,0.3701,1.0125
,,CPT-101,33.793,40.44,0.3533,0.9938
,,CPT-101,33.858,36.13,0.3514,0.9375
,,CPT-101,33.924,44.5,0.3627,0.9375
,,CPT-101,33.99,43.67,0.3861,0.9375
,,CPT-101,34.055,41.15,0.4089,0.9375
,,CPT-101,34.121,39.0,0.4229,1.0063
,,CPT-101,34.186,39.06,0.4231,1.025
,,CPT-101,34.252,39.06,0.4195,1.0375
,,CPT-101,34.318,39.12,0.4239,1.0187
,,CPT-101,34.383,40.08,0.4239,1.0187
,,CPT-101,34.449,37.92,0.4179,1.075
,,CPT-101,34.514,35.53,0.4032,1.0562
,,CPT-101,34.58,35.77,0.384,1.0875
,,CPT-101,34.646,36.49,0.3725,1.0688
,,CPT-101,34.711,34.22,0.3673,1.0813
,,CPT-101,34.777,32.66,0.356,1.0813
,,CPT-101,34.843,31.94,0.3249,1.0813
,,CPT-101,34.908,33.74,0.3022,1.0625
,,CPT-101,34.974,36.01,0.2997,1.0313
,,CPT-101,35.039,38.04,0.3,1.0313
,,CPT-101,35.105,38.16,0.3052,1.0313
,,CPT-101,35.171,39.36,0.3113,1.0313
,,CPT-101,35.236,41.27,0.3303,1.0688
,,CPT-101,35.302,42.71,0.3539,1.075
